1,2
0,102
2,55
5,121
2,67
1,53
0,12
5,101
4,102
0,57
0,64
0,100
8,87
4,93
3,42
8,114
3,51
3,92
0,68
1,151
1,94
1,47
1,59
1,115
4,114
0,66
0,109
0,76
1,31
2,157
0,99
1,94
0,35
13,64
0,53
0,103
0,60
1,117
0,56
0,52
0,78
1,69
0,47
0,40
1,62
1,81
1,90
0,84
0,84
1,107
4,92
6,110
5,69
0,24
6,93
3,47
5,73
1,26
0,49
0,81
3,75
1,48
2,107
0,46
2,48
5,90
8,115
8,129
6,114
4,56
5,131
6,138
7,91
3,77
2,86
0,63
0,53
2,97
2,99
0,60
1,58
3,69
6,80
4,77
0,49
1,92
2,70
1,116
0,99
1,45
4,208
3,49
4,79
0,87
5,146
0,80
2,94
2,94
0,43
1,71
1,81
0,96
1,121
0,78
1,159
1,67
5,97
2,114
1,99
1,100
3,79
0,87
0,21
0,70
3,82
0,80
3,83
1,105
5,112
0,66
0,25
2,71
4,125
1,51
2,73
1,72
6,66
1,70
1,79
1,66
0,59
0,53
0,44
2,152
0,56
4,187
0,86
2,92
1,89
2,79
10,90
3,87
4,64
8,135
5,73
8,74
4,56
2,55
6,88
6,69
2,66
2,34
1,48
4,66
3,50
4,103
6,46
2,34
1,2
0,102
2,55
5,121
2,67
1,53
0,12
5,101
4,102
0,57
0,64
0,100
8,87
4,93
3,42
8,114
3,51
3,92
0,68
1,151
1,94
1,47
1,59
1,115
4,114
0,66
0,109
0,76
1,31
2,157
0,99
1,94
0,35
13,64
0,53
0,103
0,60
1,117
0,56
0,52
0,78
1,69
0,47
0,40
2,62
1,81
1,90
0,84
0,84
1,107
5,92
6,110
5,69
0,24
7,93
3,47
7,73
1,26
0,49
0,81
3,75
1,48
2,107
0,46
2,48
5,90
9,115
10,129
6,114
4,56
5,131
6,138
8,91
3,77
3,86
0,63
0,53
2,97
2,99
0,60
1,58
3,69
6,80
4,77
0,49
1,92
2,70
1,116
0,99
1,45
4,208
3,49
4,79
0,87
5,146
0,80
2,94
2,94
0,43
1,71
1,81
0,96
1,121
0,78
1,159
1,67
5,97
2,114
1,99
1,100
3,79
0,87
0,21
0,70
3,82
0,80
3,83
1,105
5,112
0,66
0,25
2,71
4,125
1,51
3,73
2,72
6,66
1,70
1,79
1,66
0,59
0,53
0,44
2,152
0,56
4,187
0,86
3,92
1,89
2,79
10,90
3,87
4,64
8,135
5,73
8,74
4,56
2,55
6,88
6,69
2,66
2,34
1,48
4,66
3,50
4,103
6,46
2,34
1,2
0,102
2,55
5,121
2,67
1,53
0,12
5,101
4,102
0,57
0,64
0,100
8,87
4,93
3,42
8,114
3,51
3,92
0,68
1,151
1,94
1,47
1,59
1,115
4,114
0,66
0,109
0,76
1,31
2,157
0,99
1,94
0,35
13,64
0,53
0,103
0,60
1,117
0,56
0,52
0,78
1,69
0,47
0,40
2,62
1,81
1,90
0,84
0,84
1,107
5,92
6,110
5,69
0,24
7,93
3,47
7,73
1,26
0,49
0,81
3,75
1,48
2,107
0,46
2,48
5,90
9,115
10,129
6,114
4,56
5,131
6,138
8,91
3,77
3,86
0,63
0,53
2,97
2,99
0,60
1,58
3,69
6,80
4,77
0,49
1,92
2,70
1,116
0,99
1,45
4,208
3,49
4,79
0,87
5,146
0,80
2,94
2,94
0,43
1,71
1,81
0,96
1,121
0,78
1,159
1,67
5,97
2,114
1,99
1,100
3,79
0,87
0,21
0,70
3,82
0,80
3,83
1,105
5,112
0,66
0,25
2,71
4,125
1,51
3,73
2,72
6,66
1,70
1,79
1,66
0,59
0,53
0,44
2,152
0,56
4,187
0,86
3,92
1,89
2,79
10,90
3,87
4,64
8,135
5,73
8,74
4,56
2,55
6,88
6,69
2,66
2,34
1,48
4,66
3,50
4,103
6,46
2,34
1,2
0,102
2,55
5,121
2,67
1,53
0,12
5,101
4,102
0,57
0,64
0,100
8,87
4,93
3,42
8,114
3,51
3,92
0,68
1,151
1,94
1,47
1,59
1,115
4,114
0,66
0,109
0,76
1,31
2,157
0,99
1,94
0,35
13,64
0,53
0,103
0,60
1,117
0,56
0,52
0,78
1,69
0,47
0,40
2,62
1,81
1,90
0,84
0,84
1,107
5,92
6,110
5,69
0,24
7,93
3,47
7,73
1,26
0,49
0,81
3,75
1,48
2,107
0,46
2,48
5,90
9,115
10,129
6,114
4,56
5,131
6,138
8,91
3,77
3,86
0,63
0,53
2,97
2,99
0,60
1,58
3,69
6,80
4,77
0,49
1,92
2,70
1,116
0,99
1,45
4,208
3,49
4,79
0,87
5,146
0,80
2,94
2,94
0,43
1,71
1,81
0,96
1,121
0,78
1,159
1,67
5,97
2,114
1,99
1,100
3,79
0,87
0,21
0,70
3,82
0,80
3,83
1,105
5,112
0,66
0,25
2,71
4,125
1,51
3,73
2,72
6,66
1,70
1,79
1,66
0,59
0,53
0,44
2,152
0,56
4,187
0,86
3,92
1,89
2,79
10,90
3,87
4,64
8,135
5,73
8,74
4,56
2,55
6,88
6,69
2,66
2,34
1,48
4,66
3,50
4,103
6,46
2,34
